Kommune;DepartmentID;OrgNo;Skole;Bydel;GEO
Trondheim;3860;975300072;Tanem skole;Heimdal;500104
Trondheim;4028;975298736;Tonstad skole;Heimdal;500104
Trondheim;42027;923189963;Trondheim Idrettsungdomsskole AS;Lerkendal;500103
Trondheim;4034;975279057;Ugla skole;Midtbyen;500101
Trondheim;4035;975294595;Utleira skole;Lerkendal;500103
Trondheim;4036;975327043;Vikåsen skole;Østbyen;500102
Trondheim;4037;975279022;Åsheim barneskole;Heimdal;500104
Trondheim;4038;975279049;Åsheim ungdomsskole;Heimdal;500104
Trondheim;4039;975278875;Åsvang skole;Lerkendal;500103
Trondheim;4040;975279030;Åsveien skole og ressurssenter;Midtbyen;500101
